edition_year,info,name,price,publisher,ratings
2005-10,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,哈利·波特与混血王子,58.00元,马爱农,7.1
2007-9,[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,一个人的好天气,15.00元,竺家荣,7.1
2005-8,余华 / 上海文艺出版社 / 2005-8 / 16.00元,兄弟（上）,16.00元,上海文艺出版社,8.4
1999-1,艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,呼啸山庄,27.30元,张扬,8.4
2006-12,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,倾城之恋,29.80元,北京十月文艺出版社,8.2
2007-3,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,刀锋,18.00元,周煦良,8.2
2011-9,吴念真 / 译林出版社 / 2011-9 / 28.00元,这些人，那些事,28.00元,译林出版社,7.8
2001-1,安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,八月未央,16.00元,作家出版社,7.8
2010-1,郭敬明 / 长江文艺出版社 / 2010-1 / 26.80元,小时代2.0虚铜时代,26.80元,长江文艺出版社,9.0
2005-6,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,金锁记,13.5元,哈尔滨出版社,9.0
2008-9,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,白夜行,29.80元,刘姿君,8.9
2001-2,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,挪威的森林,18.80元,林少华,8.9
2007-9,李可 / 陕西师范大学出版社 / 2007-9 / 26.00元,杜拉拉升职记,26.00元,陕西师范大学出版社,8.2
2006-9,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.2
1999-04,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,苏菲的世界,26.80元,萧宝森,7.1
1998-9,余华 / 南海出版公司 / 1998-9 / 16.80元,许三观卖血记,16.80元,南海出版公司,7.1
1994-5,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,8.4
2007-1,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,少有人走的路,26.00元,于海生,8.4
2005-6,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,球状闪电,22.00元,四川科学技术出版社,8.2
2001-9,[美] 斯宾塞·约翰逊 / 吴立俊 / 中信出版社 / 2001-9 / 16.80元,谁动了我的奶酪？,16.80元,吴立俊,8.2
2009-1,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,当我谈跑步时我谈些什么,25.00,施小炜,7.8
2007-1,当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,明朝那些事儿（贰）,24.80,中国友谊出版公司,7.8
1998-7,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,荆棘鸟,28.00元,曾胡,8.6
2009-12,八月长安 / 新世界出版社 / 2009-12 / 39.80元,你好，旧时光（上 下）,39.80元,新世界出版社,9.0
2010-7-1,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,东霓,26.80元,长江文艺出版社,9.0
2008-9,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,嫌疑人X的献身,28.00,刘子倩,8.9
2008-1,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,三体,23.00,重庆出版社,8.9
2000-9,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,哈利·波特与阿兹卡班的囚徒,26.50元,郑须弥,8.2
2009-10,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,目送,39.00元,生活·读书·新知三联书店,8.2
2005-2,郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,1995-2005夏至未至,24.00元,春风文艺出版社,7.1
1976,三毛 / 皇冠出版社 / 1976 / 160 TWD,撒哈拉的故事,160 TWD,皇冠出版社,7.1
2009-6,刘瑜 / 上海三联书店 / 2009-6 / 25.00,民主的细节,25.00,上海三联书店,8.4
2008-12,龙应台 / 人民文学出版社 / 2008-12 / 26.00,亲爱的安德烈,26.00,人民文学出版社,8.4
2004-6,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,飞鸟集,16.80元,徐翰林,8.2
2006-10,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,七夜雪,25.00元,北京十月文艺出版社,8.2
2004-10,安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,清醒纪,22.00元,天津人民出版社,7.8
2007-7,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,一个陌生女人的来信,20.00元,张玉书,7.8
2003-5,郭敬明 / 上海译文出版社 / 2003-5 / 16.00元,左手倒影，右手年华。,16.00元,上海译文出版社,8.6
2000-08,韩寒 / 上海人民出版社 / 2000-08 / 12.00,零下一度,12.00,上海人民出版社,8.6
2007-11,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,海贼王,7.50元,董科,9.0
2010-01,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,那些回不去的年少时光,23.80元,江苏文艺出版社,9.0
2003-7,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,不能承受的生命之轻,23.00元,许钧,8.9
1996-12,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,红楼梦,59.70元,人民文学出版社,8.9
2005-7,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,情人,20.00元,王道乾,8.2
2000-9,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,哈利·波特与密室,22.00元,马爱新,8.2
2007-1,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,盗墓笔记,26.80元,中国友谊出版公司,7.1
2012-9-1,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,霍乱时期的爱情,39.50元,杨玲,7.1
2007-9,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,灿烂千阳,28.00元,李继宏,8.4
