edition_year,info,name,price,publisher,ratings
2003-8,王安忆 / 南海出版公司 / 2003-8 / 22.00元,长恨歌,22.00元,南海出版公司,9.0
2008-1,九夜茴 / 东方出版社 / 2008-1 / 29.00,匆匆那年（上下）,29.00,东方出版社,9.0
2010-1,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,送你一颗子弹,25.00元,上海三联书店,8.9
2010-11,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,三体Ⅲ,38.00元,重庆出版社,8.9
2002-8,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,向左走·向右走,16.00元,生活·读书·新知三联书店,8.2
2012-8,余华 / 作家出版社 / 2012-8 / 20.00元,活着,20.00元,作家出版社,8.2
2008-5,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.6
2011-1-7,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,撒哈拉的故事,24.00元,北京十月文艺出版社,8.6
2006-1,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,一座城池,19.90元,二十一世纪出版社,8.4
1997-3,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,茶花女,9.00元,王振孙,8.4
1999-04,金庸 / 三联书店 / 1999-04 / 0,倚天屠龙记(共四册),0,三联书店,8.2
2009-1,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,8.2
2007-11,南派三叔 / 中国友谊出版公司 / 2007-11 / 26.80元,盗墓笔记3,26.80元,中国友谊出版公司,8.6
2003-7,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,麦琪的礼物,25.00元,张经浩,8.6
2004-1,孙睿 / 远方出版社 / 2004-1 / 19.50元,草样年华,19.50元,远方出版社,9.0
2004-1,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,往事并不如烟,35.00元,人民文学出版社,9.0
1988-12-1,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,穆斯林的葬礼,32.00,北京十月文艺出版社,8.2
2006-6,桐华 / 民族出版社 / 2006-6 / 25.00元,步步惊心,25.00元,民族出版社,8.6
2014-12-1,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,皮囊,39.80元,天津人民出版社,8.6
1997-2,[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,麦田里的守望者,7.80元,施咸荣,8.4
2009-1,韩寒 / 万卷出版公司 / 2009-1 / 25.00元,他的国,25.00元,万卷出版公司,8.4
2009-1,李可 / 陕西师范大学出版社 / 2009-1 / 28.00,杜拉拉2华年似水,28.00,陕西师范大学出版社,8.2
2007-12,落落 / 长江文艺出版社 / 2007-12 / 22.00,不朽,22.00,长江文艺出版社,8.2
1994-11,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,格林童话全集,21.45元,魏以新,8.6
2004-1,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,如何阅读一本书,38.00元,郝明义,8.6
2002-8,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,蔷薇岛屿,18.00元,作家出版社,9.0
2004-10,寂地 / 北方妇女儿童出版社 / 2004-10 / 20.00元,我的路,20.00元,北方妇女儿童出版社,9.0
2004-1,安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,二三事,20.00元,南海出版公司,8.6
2006-3,余华 / 上海文艺出版社 / 2006-3 / 27.00元,兄弟（下）,27.00元,上海文艺出版社,8.6
2010-1,[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元,当我们谈论爱情时我们在谈论什么,22.00元,小二,8.6
1998-3-1,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,尘埃落定,22.0,人民文学出版社,8.6
2009-10-1,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,孤独六讲,36.00元,广西师范大学出版社,8.6
1998-01,(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元,乌合之众,16.00元,冯克利,8.6
2005-1,张悦然 / 作家出版社 / 2005-1 / 19.00元,水仙已乘鲤鱼去,19.00元,作家出版社,8.6
1997-5,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,历史深处的忧虑,19.00元,生活·读书·新知三联书店,8.6
2007-4,南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元,盗墓笔记2,26.80元,中国友谊出版公司,8.6
2007-9,当年明月 / 中国友谊出版公司 / 2007-9 / 24.80,明朝那些事儿（肆）,24.80,中国友谊出版公司,8.6
2010-1,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,失恋33天,25.00元,中信出版社,8.6
2007-3,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,动物农场,10.00元,荣如德,8.6
2006-2,饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元,左耳,22.00元,当代世界出版社,8.6
2008-3,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.6
